Gene,LogFC,P_value,P_adjusted
TSPAN6,0.025155805574175627,0.0020598132174584347,0.031325712975865644
TSPAN7,-0.018566907013180867,0.245100009393842,0.4850457139543756
TSPAN8,0.029520187104254525,0.051327412418345236,0.2033162362143429
TSPAN9,0.011247588427627964,0.0358569243869171,0.16171429333556903
TSPO,0.0035346927595352184,0.6380197373222438,0.809127405689061
TSPYL1,0.041239749563523276,0.09763729477189366,0.2929978932081862
TSPYL2,-0.013845984583701565,0.0849066122238558,0.2711316088391514
TSPYL3,0.023794809343327117,0.5607951500201608,0.756223389042438
TSPYL4,0.016541262965080072,0.4951295936031783,0.7073686559422439
TSPYL5,0.03256349458701102,0.025625508213616588,0.13331682388592894
TSR1,0.001759635700813611,0.7300305834925134,0.8650689168565733
TSR2,-0.01525940846173679,0.0003414251044391658,0.011357754665543665
TSSC1,-0.0008018333237767017,0.8620106586944795,0.9355567445866616
TSSC4,-0.005705812208134375,0.4039035370888715,0.6357720124974354
TSSK3,-0.06790810422815774,0.01611153623437554,0.10149113976347847
TSSK4,0.00033915147084417896,0.9932474805900834,0.9969348460159628
TSSK6,0.0029154446027050973,0.9033344107629344,0.9564581779715329
TSTA3,-0.011760124013795448,0.11217971228386539,0.31505449577061345
TSTD1,0.011738312682017416,0.10200806635550247,0.300450180569475
TSTD2,-0.004498706175215528,0.7515008198670474,0.8771257257245725
TST,0.009214200534895856,0.31722441145886704,0.5578446624384558
TTBK1,0.006241563459205457,0.8955990932538567,0.9526471838751602
TTBK2,0.02257459285436436,0.354857961413821,0.5932177501974298
TTC12,0.032640171900811144,7.939623992304466e-05,0.004971897627239778
TTC13,-0.014351091533475469,0.0611420830731272,0.224664829256171
TTC14,-0.00423132374870594,0.5634086181625333,0.7585527449467702
TTC15,0.0052971845654155025,0.2430333443451595,0.48337073262857333
TTC16,-0.2053663992282484,9.41002546149632e-06,0.0019787773294526767
TTC17,0.01527866347644391,0.022032468708256828,0.12152818636908631
TTC18,0.03284171428500349,0.1069534059469314,0.3069481657108816
TTC19,0.008277799778390715,0.10867265687031767,0.3095042689140418
TTC1,-0.00216276314158792,0.5966025245341106,0.7813545583574047
TTC21A,-0.029132887709898636,0.04357108705256304,0.18302005567603113
TTC21B,-0.009096345168423614,0.35825621087117854,0.5963327294117641
TTC22,0.08812614283388909,0.07231961473345563,0.24760200959898487
TTC23L,-0.06303174334732864,0.020769484597404127,0.11708291481633255
TTC23,0.001141788923165521,0.8787133010997396,0.9433457492519768
TTC25,-0.0020221886595042093,0.9206533866994862,0.9646525944992413
TTC26,-0.006220125675495236,0.6597917405818675,0.8228778511815268
TTC27,0.009822261570662238,0.040406832784684196,0.17352656997068883
TTC28,0.020141505566698914,0.10703525044353453,0.3069489686650725
TTC29,-0.23031243623932818,0.005365382374274877,0.05388476296050942
TTC30A,0.033764700200592745,0.000963325884296946,0.02045926407385272
TTC30B,0.03626088724937082,0.008493801673178092,0.0692887566567253
TTC31,-0.0019800697528324918,0.6605290692261531,0.8232085780441256
TTC32,-0.010085991430786034,0.3813527965128921,0.6188027002483526
TTC33,-0.003776432986157374,0.5501467719181043,0.7489783525320887
TTC35,-0.01210122407935943,0.04501491923563698,0.18687280510373014
TTC36,-0.09299611681738162,0.12005353393799814,0.3263440541918165
TTC37,-0.001486805580657169,0.8968378156874646,0.953131497760316
TTC38,0.026678881803984478,0.0010169241053115698,0.021253089921192597
TTC39A,0.02354016035279205,0.008086104856801639,0.06718567025653771
TTC39B,-0.020876660375628298,0.3406588996929941,0.581408641732461
TTC39C,0.025186451773708818,0.025181372312132914,0.132258499720185
TTC3,0.007157154089777684,0.06280918547443662,0.22833009379631802
TTC4,0.0029357659230901945,0.43438269961555376,0.6603921849856627
TTC5,0.0016065117986903132,0.8269115546324585,0.9175755381143105
TTC7A,0.01137192364905859,0.1019583845107872,0.30039461691595376
TTC7B,-0.0004330740141726963,0.9691760468339183,0.9856096247968316
TTC8,-0.00023723838382094797,0.9670266685855247,0.9843191920792392
TTC9C,-0.015619660662408386,0.0009221213288664419,0.02008210674540205
TTC9,0.004056584463388191,0.6940429405727436,0.8444684215700715
TTF1,-0.006976372481105386,0.0938629467831603,0.28626097986706706
TTF2,-0.008399935657714241,0.45422254100530945,0.6774412258131869
TTK,-0.028066217408319716,0.39528983803011775,0.629340513003846
TTLL10,-0.04826163597060429,0.41253389234872107,0.6428167554858345
TTLL11,-0.004105417649946208,0.6042987650490745,0.7867990116076508
TTLL12,0.011894990061934063,0.047148741275239,0.19286371521161044
TTLL13,0.006149902555599329,0.823792502614461,0.9156911334180491
TTLL1,0.0068850417663886,0.29452490674592197,0.5344814336888226
TTLL2,0.21760049215927313,0.0015477065121736419,0.027121486647997576
TTLL3,-0.03616008300253082,0.005096369109362915,0.052355484294997034
TTLL4,0.006789224498772839,0.29404595211619583,0.534008083974397
TTLL5,-0.0013139720113155562,0.8225302175162599,0.9148594224209518
TTLL6,-0.05112011063762223,0.08728195290604673,0.2746487167649536
TTLL7,0.01023671291473871,0.5234862454416924,0.7286541814667277
TTLL9,-0.062083334604758234,0.04454470283171439,0.18559929631423464
TTL,-0.006330715908930085,0.2564587131152484,0.49582988200817557
TTN,-0.032725547485453976,0.25450793995052684,0.49407724426456845
TTPAL,-0.0009704345660246361,0.8352247486727455,0.9217560673929555
TTR,-0.03783014398481388,0.5882914110730698,0.7759729445401713
TTTY14,0.03340565261409534,0.46816961144019953,0.6878575857552763
TTTY15,0.0013455538841493642,0.9291261268397719,0.9680986539302093
TTYH1,-0.11784044832194063,2.6132616654358954e-05,0.0029477937713489805
TTYH2,-0.010191093898851644,0.4770072557912196,0.6937475238631431
TTYH3,-0.008114084161766844,0.27035919899422833,0.5101393858943937
TUBA1A,-0.004648450115044778,0.6480262143066366,0.8152016623548702
TUBA1B,-0.016081127110536997,0.00024331614246479407,0.009875471257912802
TUBA1C,0.0004762623209186856,0.9653511215102412,0.9834225868830107
TUBA3C,0.12967135792241113,0.04365526868032567,0.18328326138328496
TUBA3D,0.10250370109554607,0.011961215536447484,0.08457259619440018
TUBA3E,0.10233448168633563,0.024563020580077453,0.12997264042884724
TUBA4A,0.016198132326179504,0.29035420943141343,0.5308149886492717
TUBA4B,-0.02963493358268865,0.7342039265641064,0.8674270292825431
TUBA8,0.009307179325640291,0.5643159626753979,0.7591812488942463
TUBAL3,-0.03330540019066297,0.6016151739983927,0.7847535042667042
TUBB1,-0.024341994558203517,0.26808467517442613,0.5079860131545222
TUBB2A,0.03552857800217124,0.007918312542037578,0.06636213765568305
TUBB2B,0.04804050129490722,0.18680932924194785,0.4171244575688186
TUBB2C,0.00137409294335189,0.8059930467693104,0.9062007526944866
TUBB3,-0.062306862973194654,5.450520631544069e-05,0.004088571271229159
TUBB4Q,0.010146002166985024,0.870739025196533,0.939522223246709
TUBB4,-0.0384799021380946,0.06324395720961798,0.22906977478054194
TUBB6,0.0043325713481841,0.6505880719206769,0.8167956533518751
TUBB8,0.0014345048296942053,0.9521867798791654,0.9786156653401209
TUBBP5,-0.007777606418462479,0.893392706372142,0.9512967756736772
TUBB,-0.009491138554272638,0.020167715497084522,0.11505707330186875
TUBD1,0.003424886192953558,0.5564291663139957,0.7531613642993916
TUBE1,0.02071951874483613,0.33802991236794666,0.5796692969023577
TUBG1,-0.004287433316253697,0.430175241748156,0.6562628654452612
TUBG2,-0.003809519305471465,0.698570816908207,0.8471277747684386
TUBGCP2,0.005753462421632882,0.13824638971608352,0.35314198500810595
TUBGCP3,0.005248526547059651,0.36902713653473107,0.6059615556344428
TUBGCP4,-0.006184311687034594,0.5263373381515273,0.7308310003044726
TUBGCP5,0.012556823420338592,0.0403462653850396,0.17334210892581697
TUBGCP6,-0.004250766083875757,0.5086780321752331,0.7173705370490516
TUB,0.001467121403007976,0.9062651071699637,0.957917243616778
TUFM,-0.0012625872321812004,0.7200566890612342,0.8598377443059453
TUFT1,-0.008378301163716184,0.1829589238380396,0.41286954818936517
TUG1,-0.0005727779057576043,0.8675520949400378,0.9383167638023155
TULP1,-0.030029142328828806,0.4925120451555818,0.7055473225513056
TULP3,-0.0027493753482947803,0.6123888804089991,0.7914727824574309
TULP4,0.026013714045425296,0.26107282114159225,0.5010323172179614
TUSC1,-0.0029220328629131487,0.6623919036472194,0.8245648830536497
TUSC2,-0.00863405573544851,0.07835282698123895,0.25932481631200416
TUSC3,0.013872288698454582,0.0943429450604406,0.28710798342227706
TUT1,-0.002543465191302552,0.6221376277891523,0.7989522514364579
TWF1,-0.000410182629933864,0.9400134084803684,0.9726678810594889
TWF2,-0.008752440226657221,0.1989123770627645,0.4318218861215992
TWIST1,-0.0344306961839691,0.22901569744961794,0.46704283548739284
TWIST2,0.03657396924535661,0.28814827772781315,0.5289965094349904
TWISTNB,0.005359260357935547,0.4753169991010445,0.6927405997151496
TWSG1,0.005126056782490007,0.46327975898656837,0.6835031732194213
TXK,-0.02222439523855302,0.5465462806118393,0.7461784865070101
TXLNA,0.003288002666124612,0.2542992842803378,0.49400572963867795
TXLNB,0.04103197278273285,0.26998021686673995,0.5098196268172042
TXLNG,-0.026724473456257503,0.24493707190550504,0.48483592629476663
TXN2,0.001514685933135862,0.7580674124056135,0.8807483274056986
TXNDC11,0.016870067474172856,0.00011259123382734454,0.0060811786287823825
TXNDC12,0.015670491167843803,0.000301989547246616,0.010892048554595924
TXNDC15,0.012230522235365804,0.005250644638768727,0.053324876916008
TXNDC16,0.007738175479189646,0.39636520049853496,0.6299188619845588
TXNDC17,0.0049333670505404825,0.568475049010418,0.7618393139865091
TXNDC3,-0.1949059812904279,0.0006279595333521773,0.016354793167565194
TXNDC5,0.004925545013721777,0.2854096805152678,0.52639633459896
TXNDC6,0.04593718429555027,0.22793156626678773,0.4657339693164822
TXNDC9,0.007437056971405287,0.14129129075695332,0.3572234756513561
TXNIP,-0.006080726182491336,0.4013378926316957,0.6336072226523008
TXNL1,0.005912635379707876,0.22324426593077806,0.46052071958325574
TXNL4A,0.002352442201099869,0.7225223759008238,0.8610917736299141
TXNL4B,0.0073603616964614815,0.36074743261677666,0.5987405153409252
TXNRD1,-0.015808355222865167,0.019478353628202442,0.11307934469978603
TXNRD2,0.020462059101533203,0.08943044545224511,0.27832427871150944
TXNRD3IT1,0.004881617038046127,0.47707384604358727,0.6937589703458057
TXN,-0.016932213126105378,0.007389462130980661,0.06375539700015788
TYK2,-0.0036277657371575067,0.3671245701348538,0.6039436742425115
TYMP,-0.023697701154659967,0.11550335856695294,0.31989735064567637
TYMS,-0.0397325034716518,0.007127684419200038,0.06270963259929455
TYRO3,0.00876841467950129,0.4241579245335749,0.6518706062059354
TYROBP,-0.05574263558495307,8.820523494208196e-05,0.005280352408494916
TYRP1,-0.17087483253712898,0.014975252292885642,0.09709686802615955
TYSND1,0.00040590930242956347,0.9449935137578664,0.9754357997279933
TYW1B,0.03623526060961124,0.03687445066653549,0.16411876618842408
TYW1,-0.0032223239919462188,0.48214220031947674,0.6982084762830851
TYW3,0.02257496755776689,1.6711078617327807e-05,0.0024328188212730303
U2AF1L4,-0.028436631012553004,0.007717293792205976,0.0655188843421411
U2AF1,-0.014013877903202854,0.004956165751108023,0.051662700033955844
U2AF2,-0.012088111193008455,0.0002791049964624465,0.010517688948550555
UACA,-0.014910286974638698,0.016506708023255403,0.10276270385968907
UAP1L1,-0.03041197573393184,0.000892679009230823,0.01984987149377103
UAP1,0.015728627700344777,0.0372207550770868,0.164838957095568
UBA1,-0.0012504422093910783,0.6492270181682263,0.8159685247254711
UBA2,-0.0047955763557743225,0.18369120210178885,0.4135669261959902
UBA3,-0.006285630734375047,0.166608436971846,0.39169655030247796
UBA52,-0.008464688859636027,0.08811474841199503,0.2761469199082818
UBA5,0.006708349056036678,0.10683869427601891,0.3067223124226243
UBA6,0.006478363549801358,0.26016512711656403,0.5001007346999701
UBA7,-0.007282299497194167,0.589902776199518,0.7767463022112622
UBAC1,-0.012368657780384318,0.013590575642671498,0.09175119893841602
UBAC2,-0.004620877162202497,0.2776043912076737,0.5182398819288232
UBAP1,-0.0073695393549555455,0.012581098576001547,0.08722154124716336
UBAP2L,-0.01500153893377032,0.0007418639676427876,0.018077494936852075
UBAP2,-0.006416397170300403,0.23278534418852412,0.4714664408517397
UBASH3A,-0.021145313572156432,0.6804682469332752,0.8361286719098598
UBASH3B,0.0020750001315335,0.9259919646808028,0.9672813183268753
UBB,-0.003841857325689979,0.29377664659579356,0.5338546513597515
UBC,-0.015774062509001485,4.2195571319277435e-05,0.0036298846781881444
UBD,0.01611346659559887,0.5665136212264841,0.7603247860054815
UBE2A,-0.006899764858885327,0.03994158055355658,0.17278171071044665
UBE2B,-0.007424611177898832,0.09071342001270377,0.2808985094993274
UBE2CBP,0.024558930302191584,0.2561216387208962,0.4955156601923018
UBE2C,-0.1340145492364595,5.729826582713845e-07,0.0004879806809168246
UBE2D1,-0.016322186297883512,0.016276997426565264,0.10200371492519725
UBE2D2,-0.010640119012939042,0.00029507286665188595,0.010762261536791377
UBE2D3,0.00043886305085205635,0.8393015801557839,0.9233238916743182
UBE2D4,0.0017210017782121056,0.7554792968845239,0.8792832425179944
UBE2E1,-0.0039632409505792054,0.33588580738084106,0.5778932279917036
UBE2E2,-0.009317700704100318,0.09865119954082842,0.29463894122022277
UBE2E3,-0.01593205874015169,0.10025980848668165,0.2976276419216184
UBE2F,-0.0054969082154237014,0.208505448937163,0.44308828171218134
UBE2G1,-0.00012774117837377474,0.9802653183671476,0.9909115233084644
UBE2G2,-0.003566461459016068,0.33624637538546265,0.5780619923876044
UBE2H,-0.005935919946260526,0.3082016502260078,0.5488563471282163
UBE2I,-0.010268491691230341,0.012271597651926583,0.08591127118999814
UBE2J1,0.04100649148822022,0.09972356619128497,0.2967900146543397
UBE2J2,-0.000231107706080369,0.9620092389413005,0.9824641803596523
UBE2K,0.0027758818985628153,0.46288545245373647,0.6832765327709934
UBE2L3,0.007940152359243946,0.05545665414518563,0.2130455087485201
UBE2L6,-0.0122251595524685,0.300668269915986,0.5404923603297375
UBE2MP1,-0.0037678793840609792,0.5326202690363472,0.7363136955195279
UBE2M,-0.011200004815526299,0.03071229985606754,0.14792978961677455
UBE2NL,0.10892025981754827,0.030088556305160795,0.14605254475514498
UBE2N,-0.0051534454090411685,0.20023689339052425,0.4333810869503219
UBE2O,0.0008649971604879347,0.8099771934505647,0.9077199828904067
UBE2Q1,-0.007048911800620505,0.02569592835197746,0.13347933748680454
UBE2Q2P1,-0.06204980738989763,0.0855359472961232,0.2722215176277677
UBE2Q2,0.01191153427239744,0.016744112763444185,0.1034305792845096
UBE2QL1,0.011019431780575406,0.6305893722615024,0.8048579076605598
UBE2R2,-0.0044509884153192125,0.14612037642357747,0.36386964497409285
UBE2S,-0.02872943098784919,0.008191332894858046,0.06778228931566006
UBE2T,-0.07819579477069283,6.437204887179543e-06,0.0016612865279292295
UBE2V1,0.0012058862036425921,0.6478481525526576,0.8151549313577445
UBE2V2,-0.02142538355601209,5.369674656679612e-05,0.004064963041209948
