Gene,LogFC,P_value,P_adjusted
MPRIP,0.0012487096976929735,0.9428183081705437,0.9897501037052113
MPST,0.011020828366700819,0.6849534091785594,0.9298649103643742
MPV17L2,0.001902979193422194,0.9200286361930301,0.9833207534506899
MPV17L,0.3141449944256145,0.1830569300996706,0.8619564607543061
MPV17,0.01840064288714105,0.2901117940036879,0.8619564607543061
MPZL1,-0.0023300530176757484,0.8733487423287298,0.9716361285490042
MPZL2,-0.0039691747596237725,0.8999167939334862,0.9775494924084588
MPZL3,-0.05248343672781708,0.4787052051157633,0.8784513853411761
MPZ,0.23628801125151666,0.21153874320716565,0.8619564607543061
MR1,0.016071994640761478,0.6986658474430039,0.9319375825464896
MRAP2,0.030609621215780702,0.7009293145497381,0.9326032703393293
MRAS,0.024389228714225997,0.48846541538832633,0.8830723648200516
MRC1,0.051208215816810565,0.5268017384773492,0.8929260634376246
MRC2,0.05547064480726771,0.16655069778744644,0.8619564607543061
MRE11A,-0.031765122547705804,0.2350964648515395,0.8619564607543061
MREG,-0.07940081505689145,0.19595074394833126,0.8619564607543061
MRFAP1L1,-0.00707142237748748,0.37203206127096755,0.8627464734930657
MRFAP1,-0.003011538478197906,0.768297442648818,0.9458015261168952
MRGPRE,0.30425808050162306,0.181099099873065,0.8619564607543061
MRGPRF,0.09564585761866162,0.3006155006722368,0.8619564607543061
MRI1,-0.029663539758292945,0.130027016530958,0.8619564607543061
MRM1,-0.021758042914541864,0.33023805349191004,0.8619841669731307
MRO,0.18305272074387124,0.35614015031240653,0.8627464734930657
MRP63,0.00035521442815200643,0.9488817869723147,0.9897823567153443
MRPL10,-0.0016822794370718874,0.8809430565404717,0.9737882459636481
MRPL11,-0.022877892570253966,0.4317213020712991,0.8663707248375295
MRPL12,-0.014130338270322618,0.6228558420420932,0.9159755234484528
MRPL13,-0.016185434543557697,0.4961051578793204,0.8843481968704042
MRPL14,-0.019516339213026423,0.4189682205624107,0.8641205580830348
MRPL15,0.0023335984554155864,0.9245887478710662,0.9843896458764475
MRPL16,-0.025569797952493367,0.13958511109025765,0.8619564607543061
MRPL17,0.014367039938216308,0.48100127709637197,0.8788773603070698
MRPL18,-0.016062321671374225,0.27199977446070345,0.8619564607543061
MRPL19,0.009463994900709594,0.5559830874818166,0.9005032733895875
MRPL1,-0.025386012596068763,0.25908815805810165,0.8619564607543061
MRPL20,0.005799929467555032,0.7670011248279607,0.9453205614467911
MRPL21,-0.02085209662718812,0.2997643280426482,0.8619564607543061
MRPL22,-0.011914742851270699,0.4600933378161379,0.8726656372880849
MRPL23,-0.021515645979635067,0.47069212978180164,0.8760160671518168
MRPL24,0.003460097852951982,0.8861688947236467,0.9748201229545256
MRPL27,-0.020485090404606776,0.2709570914533725,0.8619564607543061
MRPL28,-0.0054007899947099425,0.8086777776272265,0.9572834941523168
MRPL2,-0.008226973581776598,0.7370436166077485,0.9395425459987128
