project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	'--	'--	70a5379c-b711-559f-a1e6-c5df2600a763	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	'--	'--	7cf1f8da-0b98-52f5-8d04-bca8b7054986	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	'--	'--	b1da5870-f64c-55b5-9b2f-7ec647640f18	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	056a0e87-bcd9-41b5-babc-95075ad40962	DTB-037-N	'--	'--	eb0769aa-2801-5c0a-bda7-6845ef6d1ce4	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	'--	'--	00272a3a-9e3b-5433-b83f-15db3ff5742e	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	'--	'--	59b9b3bc-9093-57da-8135-0d4c4a26dc1a	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	'--	'--	e3056f5a-587b-5512-800d-9666dd7aaf54	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	d29d22fd-88ae-48ae-bef6-a88b00edc43a	DTB-037-TUMOR_ADJACENT-N	'--	'--	ead05813-3809-5024-97de-64f735332da9	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	6bf36d64-4e97-4dcc-98ab-278d8fd67d05	DTB-077-TUMOR_ADJACENT-N	'--	'--	25342fba-31bc-5c0e-824b-f875aee15794	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	'--	'--	00ab2c82-c478-52cb-8c5e-b0f24fb72860	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	'--	'--	59ea59fa-3680-5d12-9c56-930ffdf5ab3d	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	'--	'--	c61c2474-9ac7-56fe-8b08-23b7b0408eb7	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	e34bc203-0a81-407e-812b-7be7b778de12	DTB-077-N	'--	'--	2733750d-49fd-59dd-8a06-7c4674b578f4	'--	'--	'--	'--
WCDT-MCRPC	4929ddd8-50da-444a-8689-bab89a18e7d8	DTB-266	3aaeb6af-b1bd-4f4a-a38a-a0fd80cd811b	DTB-266-BL	'--	'--	a68875ce-e991-5896-9f89-99b791d5d125	'--	'--	'--	'--
