project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	7f70714f-c188-449d-9b2d-84f8f48c45f8	DTB-188-TUMOR_ADJACENT-N	1a5906db-0fc9-5271-be58-4e1ff67144a2	'--	'--	'--	1d79217d-4429-5409-abc8-77194d609772	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	1c2dc026-9c5e-5073-a426-8827c3150da1	'--	'--	'--	882c2780-4508-54d1-9c33-86aa9a005a8c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	90f7c640-5844-59ee-8e78-8bbb06828360	'--	'--	'--	8f3d44be-7b9b-538c-bdf7-5c5d7719fc0d	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	973d1184-b669-5ec2-b6a9-791685a9cdb1	'--	'--	'--	9d82a91e-88ab-540e-ac9d-72f578a75b12	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	95646972-ec77-480b-8be2-6c6f5448b150	DTB-188-N	b29dd4e4-0592-565f-bd47-53fe052d1803	'--	'--	'--	bf109bdf-9338-5262-98ce-7739d4d3c630	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	c24e9d7b-f8d2-5bf4-8bde-c16ea10ceeba	'--	'--	'--	48543dcb-fd8d-5a22-b742-76ed99dbc324	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	1cd95128-a862-5bf5-abf6-202e56330b55	'--	'--	'--	1b3d1d20-7db2-590d-b087-44fbee4ed13f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	c503f1e4-7435-5a24-bb16-d4bce08bce70	'--	'--	'--	c2d9e810-3a5c-51be-a0cb-0178cf6fd2a4	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	d3f2f858-3c4d-4007-8601-41f939e78223	DTB-170-N	562abaa6-572d-5fe8-8411-df2e4a42e547	'--	'--	'--	8bd85154-6531-5812-938d-0f9c0b47af41	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	079df89c-9bdd-45d8-bfad-654a49c8d0ad	DTB-060-N	389a868d-ccac-5907-b420-b826e3f98416	'--	'--	'--	398848e0-0c95-5f02-a541-f387618e9f43	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	624bf530-c923-543f-bd32-3dacd68273c7	'--	'--	'--	fcb7b23e-7eaa-579e-a53b-0cb78d148f53	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	0dae3234-9925-5af7-8a03-0215a64f8c89	'--	'--	'--	eea861dc-8540-5c9a-a6ad-4237207277bf	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	c3e101c9-8278-500a-b8a3-9cacfb82ed45	'--	'--	'--	1ae262b7-1ab4-590c-8a11-fb43fab5b19c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	32335a35-f4a7-4a2e-a08f-6e0048fe1b28	DTB-100-N	72946bb2-9967-55e5-a124-b3b28985f21a	'--	'--	'--	5be5f76b-66ae-5883-bdb5-b84141d44c4a	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	70a5379c-b711-559f-a1e6-c5df2600a763	'--	'--	'--	67423efe-1a53-5119-9b7f-359e5597d036	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	7cf1f8da-0b98-52f5-8d04-bca8b7054986	'--	'--	'--	36a72dd7-f689-586e-aad0-8d5331695808	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	822d7375-83bc-4ce3-8102-e37ea73959bb	DTB-100-BL	b1da5870-f64c-55b5-9b2f-7ec647640f18	'--	'--	'--	90096845-9083-5dec-99ca-aaa3736331fe	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
